Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
Attribute;FirstAttribute;Underlying assets on options of foreign currency;;
AttributeValue;HFRXXX;R;Forwards – Single Currency Pair;
AttributeValue;HFFXXX;F;Futures – Single Currency Pair;
AttributeValue;HFTXXX;T;Spot – Single Currency Pair (an option on a foreign exchange transaction in which two parties agree to buy one currency against selling another currency at an agreed price for settlement on the spot date);
AttributeValue;HFVXXX;V;Volatility – Single Currency Pair;
AttributeValue;HFBXXX;B;Forwards – Currency Index;
AttributeValue;HFCXXX;C;Futures – Currency Index;
AttributeValue;HFDXXX;D;Spot – Currency Index;
AttributeValue;HFEXXX;E;Volatility – Currency Index;
AttributeValue;HFQXXX;Q;Forwards – Custom Basket of Currencies;
AttributeValue;HFUXXX;U;Futures – Custom Basket of Currencies;
AttributeValue;HFWXXX;W;Spot – Custom Basket of Currencies;
AttributeValue;HFYXXX;Y;Volatility – Custom Basket of Currencies;
AttributeValue;HFMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Option style and type;;
AttributeValue;HFXJXX;J;European (an option which allows its holder to exercise the right to buy/sell the specified call/put currency at a specified price only on the expiration date;
AttributeValue;HFXKXX;K;American (an option which allows its holder to exercise the right to buy/sell the specified call/put currency at a specified price at any time during the term of the option, up to and including the expiration date);
AttributeValue;HFXLXX;L;Bermudan (an option which allows its holder to exercise the right to buy/sell the specified call/put currency at a specified price on a number of specific dates within the exercise period of the option);
Attribute;ThirdAttribute;Valuation method or trigger;;
AttributeValue;HFXXVX;V;Vanilla (an option for which all terms are standardized);
AttributeValue;HFXXAX;A;"Asian (an option where either the strike price or the settlement price is the average level of an underlying instrument over a predetermined period; the averaging can be either a geometric or arithmetic average)";
AttributeValue;HFXXDX;D;"Digital (Binary) (an option that has a pre-determined payout if the option is in-the-money and the payoff condition is satisfied; also referred to as a “binary option” or an “all-or-nothing option”)";
AttributeValue;HFXXBX;B;"Barrier (an option whose final exercise depends upon the path taken by the price of an underlying instrument; for a “knock-out” barrier option, the option is cancelled if the underlying price crosses a predetermined barrier level; for a “knock-in” barrier option, the option becomes available-for-exercise if the underlying price crosses a predetermined barrier level)";
AttributeValue;HFXXGX;G;"Digital barrier (a digital option embedded with a barrier option; there are different variations of this type of option; as an example, a down-and-out digital call option will pay a fixed payoff, or the underlying, at any time before maturity that the underlying price is equal to or greater than the barrier level; it will pay zero if the underlying price is less than the barrier level)";
AttributeValue;HFXXLX;L;"Lookback (an option that minimizes the uncertainties related to the timing of market entry; there are two types of lookback options: fixed and floating; the fixed option strike is determined at purchase, and the floating option strike is determined at maturity)";
AttributeValue;HFXXPX;P;Other path dependent (an option on a contract whose payoff is directly related to the price pattern the underlying asset follows during the life of the contract);
AttributeValue;HFXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Delivery;;
AttributeValue;HFXXXC;C;Cash;
AttributeValue;HFXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;HFXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Group;HMXXXX;Others (miscellaneous);"Options that do not fit into any of the Groups.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;HMPXXX;P;Commercial property (or property derivative);
AttributeValue;HMMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Option style and type;;
AttributeValue;HMXAXX;A;European-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price only on the expiration date of the call];
AttributeValue;HMXBXX;B;American-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price at any time during the term of the call option, up to and including the expiration date of the call];
AttributeValue;HMXCXX;C;Bermudan-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the call];
AttributeValue;HMXDXX;D;European-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price only on the expiration date of the put];
AttributeValue;HMXEXX;E;American-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price at any time during the term of the put option, up to and including the expiration date of the put];
AttributeValue;HMXFXX;F;Bermudan-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the put];
AttributeValue;HMXGXX;G;"European-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price, only on the contract’s expiration date; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HMXHXX;H;"American-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price at any time during the term of the contract, up to and including the expiration date of the call or put; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HMXIXX;I;"Bermudan-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the contract; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HMXJXX;J;European (an option which allows its holder to exercise the right to buy/sell the specified call/put asset at a specified price only on the expiration date);
AttributeValue;HMXKXX;K;American (an option which allows its holder to exercise the right to buy/sell the specified call/put asset at a specified price at any time during the term of the option, up to and including the expiration date);
AttributeValue;HMXLXX;L;Bermudan (an option which allows its holder to exercise the right to buy/sell the specified call/put asset at a specified price on a number of specific dates within the exercise period of the option);
Attribute;ThirdAttribute;Valuation method or trigger;;
AttributeValue;HMXXVX;V;Vanilla (an option for which all terms are standardized);
AttributeValue;HMXXAX;A;"Asian (an option where either the strike price or the settlement price is the average level of an underlying instrument over a predetermined period; the averaging can be either a geometric or arithmetic average)";
AttributeValue;HMXXDX;D;"Digital (Binary) (an option that has a pre-determined payout if the option is in-the-money and the payoff condition is satisfied; also referred to as a “binary option” or an “all-or-nothing option”)";
AttributeValue;HMXXBX;B;"Barrier (an option whose final exercise depends upon the path taken by the price of an underlying instrument; for a “knock-out” barrier option, the option is cancelled if the underlying price crosses a predetermined barrier level; for a “knock-in” barrier option, the option becomes available-for-exercise if the underlying price crosses a predetermined barrier level)";
AttributeValue;HMXXGX;G;"Digital barrier (a digital option embedded with a barrier option; there are different variations of this type of option; as an example, a down-and-out digital call option will pay a fixed payoff, or the underlying, at any time before maturity that the underlying price is equal to or greater than the barrier level; it will pay zero if the underlying price is less than the barrier level)";
AttributeValue;HMXXLX;L;"Lookback (an option that minimizes the uncertainties related to the timing of market entry; there are two types of lookback options: fixed and floating; the fixed option strike is determined at purchase, and the floating option strike is determined at maturity)";
AttributeValue;HMXXPX;P;Other path dependent (an option on a contract whose payoff is directly related to the price pattern the underlying asset follows during the life of the contract);
AttributeValue;HMXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Delivery;;
AttributeValue;HMXXXC;C;Cash;
AttributeValue;HMXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;HMXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
AttributeValue;HMXXXN;N;Non-deliverable [synthetic options on foreign exchange (FX) forwards that are based on non-convertible or thinly traded currencies];
AttributeValue;HMXXXA;A;Auction (an independently administered synthetic auction process on a set of defined deliverable obligations that sets a reference final price that can be used to facilitate cash settlement of all covered transactions following a credit event);
Category;IXXXXX;Spot;Contracts conducted on the spot market which are bought and sold for cash with immediate delivery based on market convention for the asset.
Group;IFXXXX;Foreign exchange;"Spot contracts to deliver the agreed foreign currency at settlement.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;IFXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;IFXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;IFXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;;
AttributeValue;IFXXXP;P;Physical;
Group;ITXXXX;Commodities;"Spot contracts to physically deliver the commodity asset at settlement.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;ITAXXX;A;Agriculture;
AttributeValue;ITJXXX;J;Energy;
AttributeValue;ITKXXX;K;Metals;
AttributeValue;ITNXXX;N;Environmental (e.g. carbon credits and similar products);
AttributeValue;ITPXXX;P;Polypropylene products;
AttributeValue;ITSXXX;S;Fertilizer;
AttributeValue;ITTXXX;T;Paper;
AttributeValue;ITMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;ITXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;ITXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;ITXXXX;X;Not applicable/undefined;
Category;JXXXXX;Forwards;Contracts, which are not exchange traded or listed, entered between two parties to buy or sell the underlying asset at a specified future date at the price specified at the outset of the contract.
Group;JEXXXX;Equity;"Forward contracts to buy or sell the underlying equity stock, equity index or basket of equity stock.";
Attribute;FirstAttribute;Underlying assets;indicates the type of underlying equity product that the forward contract buyer will buy, respectively that the seller will sell, at the specified future date and price;
AttributeValue;JESXXX;S;Single stock (single equity stock);
AttributeValue;JEIXXX;I;Index;
AttributeValue;JEBXXX;B;Basket (a defined basket of instruments);
AttributeValue;JEOXXX;O;Options;
AttributeValue;JEFXXX;F;Futures;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;JEXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Return or payout trigger;method used to determine contract value if different from standard forward price of underlying instrument;
AttributeValue;JEXXCX;C;CFD;
AttributeValue;JEXXSX;S;Spread-bet [the payout is determined by the movement in the reference price of the underlying instrument to its price at expiry (or the price when the holder wishes to close out) multiplied by an agreed amount per point movement];
AttributeValue;JEXXFX;F;Forward price of underlying instrument (the agreed-upon price for the time of delivery);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;JEXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;JEXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;JFXXXX;Foreign exchange;"Forward contracts to buy or sell the foreign currency.";
Attribute;FirstAttribute;Underlying assets of foreign exchange forwards;;
AttributeValue;JFTXXX;T;Spot – Single Currency Pair;
AttributeValue;JFRXXX;R;Forward – Single Currency Pair;
AttributeValue;JFVXXX;V;Spot – Custom Basket of Currencies;
AttributeValue;JFUXXX;U;Spot – Currency Index;
AttributeValue;JFWXXX;W;Forward – Custom Basket of Currencies;
AttributeValue;JFSXXX;S;Forward – Currency Index;
AttributeValue;JFOXXX;O;Options – Single Currency Pair;
AttributeValue;JFKXXX;K;Options – Custom Basket of Currencies;
AttributeValue;JFJXXX;J;Options – Currency Index;
AttributeValue;JFFXXX;F;Futures – Single Currency Pair;
AttributeValue;JFNXXX;N;Futures – Custom Basket of Currencies;
AttributeValue;JFLXXX;L;Futures – Currency Index;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;JFXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Return or payout trigger;;
AttributeValue;JFXXCX;C;CFD;
AttributeValue;JFXXSX;S;Spread-bet;
AttributeValue;JFXXFX;F;Forward price of underlying instrument;
AttributeValue;JFXXRX;R;Rolling spot (an indefinitely renewed position in which no currency is actually delivered until a party closes out its position);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;JFXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;JFXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;JCXXXX;Credit;"Forward contracts to buy or sell the credit product.";
Attribute;FirstAttribute;Underlying assets of credit forwards;;
AttributeValue;JCAXXX;A;Single name;
AttributeValue;JCIXXX;I;Index;
AttributeValue;JCBXXX;B;Basket;
AttributeValue;JCCXXX;C;CDS on a single name;
AttributeValue;JCDXXX;D;CDS on an index;
AttributeValue;JCGXXX;G;CDS on a basket (where the underlying risk is multiple reference entities or multiple reference obligations);
AttributeValue;JCOXXX;O;Options;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;JCXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Return or payout trigger for forwards on commodities;method used to determine contract value if different from standard forward price of underlying instrument;
AttributeValue;JCXXCX;C;CFD;
AttributeValue;JCXXSX;S;Spread-bet [the payout is determined by the movement in the reference price of the underlying instrument to its price at expiry (or the price when the holder wishes to close out) multiplied by an agreed amount per point movement];
AttributeValue;JCXXFX;F;Forward price of underlying instrument (the agreed-upon price for the time of delivery);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;JCXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;JCXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;JRXXXX;Rates;"Forward contracts to buy or sell the financial rates product.";
Attribute;FirstAttribute;Underlying assets of forward rates;;
AttributeValue;JRIXXX;I;Interest rate index;
AttributeValue;JROXXX;O;Options;
AttributeValue;JRMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;JRXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Return or payout trigger include contract for differences;method used to determine contract value if different from standard forward price of underlying instrument;
AttributeValue;JRXXCX;C;CFD;
AttributeValue;JRXXSX;S;Spread-bet [the payout is determined by the movement in the reference price of the underlying instrument to its price at expiry (or the price when the holder wishes to close out) multiplied by an agreed amount per point movement];
AttributeValue;JRXXFX;F;Forward price of underlying instrument (the agreed-upon price for the time of delivery);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;JRXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;JRXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;JTXXXX;Commodities;"Forward contracts to buy or sell the commodity asset.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;JTAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;JTBXXX;B;Basket – single-commodity (a custom basket containing constituents from one of the underlying assets identified for this attribute);
AttributeValue;JTCXXX;C;Basket – multi-commodity (a custom basket containing constituents from two or more of the underlying assets identified for this attribute);
AttributeValue;JTGXXX;G;Freight  (the specified commodity is a freight index route);
AttributeValue;JTHXXX;H;Index – multi-commodity (an index containing constituents from two or more of the underlying assets identified for this attribute);
AttributeValue;JTIXXX;I;Index – single-commodity (the underlying reference entity is a commodity index);
AttributeValue;JTJXXX;J;"Energy [an energy-related product, or a derivative of an energy-related product, including electricity, renewable energy, or any power/energy delivered through a utility network of provider; diesel fuel, fuel oil, gas oil, gasoline, heating oil, jet fuel, kerosene, natural gas, oil (Brent, Tapis, Dubai, WTI)]";
AttributeValue;JTKXXX;K;Metals (a precious or industrial metal, such as aluminium, copper, gold, lead, nickel, platinum, silver, tin, zinc);
AttributeValue;JTNXXX;N;Environmental  (includes carbon-related, emission reduction, weather);
AttributeValue;JTPXXX;P;Polypropylene products;
AttributeValue;JTSXXX;S;Fertilizer [ammonia, diammonium phosphate (DAP), potash, sulphur, urea, urea and ammonium nitrate (UAN)];
AttributeValue;JTTXXX;T;Paper  (containerboard, newsprint, pulp, recovered paper);
AttributeValue;JTMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;JTXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Return or payout trigger for forwards on commodities;method used to determine contract value if different from standard forward price of underlying instrument;
AttributeValue;JTXXCX;C;CFD;
AttributeValue;JTXXSX;S;Spread-bet [the payout is determined by the movement in the reference price of the underlying instrument to its price at expiry (or the price when the holder wishes to close out) multiplied by an agreed amount per point movement];
AttributeValue;JTXXFX;F;Forward price of underlying instrument (the agreed-upon price for the time of delivery);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;JTXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;JTXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Category;KXXXXX;Strategies;This subclause defines a classification of derivative strategies. Strategies are the simultaneous trading of two or more derivative instruments.
Group;KRXXXX;Rates;"Interest rate derivative strategies are the simultaneous trading of two or more rate contracts in which two counterparties agree to exchange interest rate cash flows on defined dates during an agreed period, based on a specified notional amount, from a fixed rate to a floating rate, floating to fixed, or floating to floating.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KRXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KRXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KRXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KRXXXX;X;Not applicable/undefined;
Group;KTXXXX;Commodities;"Commodity derivative strategies are the simultaneous trading of two or more commodity contracts where the value of the contract is derived from an underlying commodity or commodity index. Commodity derivatives can be physically or cash settled. Primary underliers include metals, agricultural goods and energy.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KTXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KTXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KTXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KTXXXX;X;Not applicable/undefined;
Group;KEXXXX;Equity;"Equity derivative strategies are the simultaneous trading of two or more equity contracts where payments are linked to the change in value of an underlying equity (e.g. shares, basket of equities or index). The equity return payer pays to the equity return receiver any increase in the value of the underlying plus any dividends received. The equity return receiver pays the equity return payer any decrease in the value of the underlying plus funding cost.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KEXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KEXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KEXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KEXXXX;X;Not applicable/undefined;
Group;KCXXXX;Credit;"Credit derivative strategies are the simultaneous trading of two or more credit default contracts in which one party (protection seller) agrees to provide payment to the other party (protection buyer) should a credit event occur against the underlying, which could be a specified debt (the reference obligation), a specific debt issuer (reference entity), a basket of reference entities and/or reference obligations, or a credit index (reference index).";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KCXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KCXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KCXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KCXXXX;X;Not applicable/undefined;
Group;KFXXXX;Foreign exchange;"Foreign exchange derivative strategies are the simultaneous trading of two or more foreign exchange agreements between two parties to exchange a given amount of one currency for another currency for spot delivery or for forward delivery at an agreed rate after a specified period of time.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KFXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KFXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KFXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KFXXXX;X;Not applicable/undefined;
Group;KYXXXX;Mixed assets;"Mixed asset derivative strategies are the simultaneous trading of two or more contracts of different asset types between two parties.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KYXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KYXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KYXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KYXXXX;X;Not applicable/undefined;
Group;KMXXXX;Others (miscellaneous);"Strategies that do not fit into any of the other Strategies Groups.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;KMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;KMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;KMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;KMXXXX;X;Not applicable/undefined;
Category;LXXXXX;Financing;Financing is a collateralized loan agreement entered into between two parties where one party, the lender, lends (temporarily) the underlying asset which is secured with cash or other acceptable collateral (securities or other assets) provided by the borrower. Depending on the exact type of financing transaction, a simultaneous agreement to reverse the agreement may be entered into at the same time with an agreed-upon future date for the reverse transaction to take place.
Group;LLXXXX;Loan-lease;"One party lends a commodity to a counterparty, in return for a fixed price or a premium (aka lease rate). At the end of the contract, the lender expects to receive the commodity back, and their return is linked to fluctuations in the market price of the commodity, or the premium, respectively.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;LLAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;LLBXXX;B;Baskets;
AttributeValue;LLJXXX;J;"Energy [an energy-related product, or a derivative of an energy-related product, including electricity, renewable energy, or any power/energy delivered through a utility network of provider; diesel fuel, fuel oil, gas oil, gasoline, heating oil, jet fuel, kerosene, natural gas, oil (Brent, Tapis, Dubai, WTI)]";
AttributeValue;LLKXXX;K;Metals (a precious or industrial metal, such as aluminium, copper, gold, lead, nickel, platinum, silver, tin, zinc);
AttributeValue;LLNXXX;N;Environmental  (includes carbon-related, emission reduction, weather);
AttributeValue;LLPXXX;P;Polypropylene products;
AttributeValue;LLSXXX;S;Fertilizer [ammonia, diammonium phosphate (DAP), potash, sulphur, urea, urea and ammonium nitrate (UAN)];
AttributeValue;LLTXXX;T;Paper  (containerboard, newsprint, pulp, recovered paper);
AttributeValue;LLMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;LLXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;LLXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;LLXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;LLXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;LRXXXX;Repurchase agreements;"A simultaneous sale and repurchase agreement entered into by two parties where one party agrees to sell securities or cash to the other party in exchange for collateral. The repurchase terms are generally for the repurchase of the same or equivalent securities at a specified price on an agreed future date. During the term of the agreement, the ownership rights of the securities are transferred.";
Attribute;FirstAttribute;Underlying assets of repurchase agreements;underlying collateral used to secure the repurchase agreement;
AttributeValue;LRGXXX;G;"General collateral [the repurchase agreement is secured by a range of acceptable high-quality and liquid assets, or a general collateral basket of acceptable general collateral securities as prescribed by a repo trading system or the central counterparty (CCP); the securities may be substituted with other acceptable securities, as determined by the seller]";
AttributeValue;LRSXXX;S;Specific security collateral (the repurchase agreement is secured by a specific agreed-upon security, which may not be substituted);
AttributeValue;LRCXXX;C;Cash collateral;
Attribute;SecondAttribute;Termination;termination terms of the agreement;
AttributeValue;LRXFXX;F;Flexible (the agreement has flexible term duration of up to 120 days);
AttributeValue;LRXNXX;N;Overnight (the term of the agreement is one day);
AttributeValue;LRXOXX;O;Open (the agreement has no fixed termination date);
AttributeValue;LRXTXX;T;Term (the set number of days specified at the outset of the agreement);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;LRXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;delivery method for the collateral at the outset of the agreement;
AttributeValue;LRXXXD;D;Delivery versus payment (the borrower delivers the collateral to the lender against payment of funds within a securities settlement system);
AttributeValue;LRXXXH;H;Hold-in-custody (the borrower holds the collateral in a segregated customer account, in custody, for the lender);
AttributeValue;LRXXXT;T;Tri-party (the borrower delivers the collateral to the lender's account at the lender's clearing bank or custodian);
Group;LSXXXX;Securities lending;"An agreement entered into by two parties where one party (lender) agrees to lend cash or securities to the other party (borrower) in exchange for collateral plus a lending fee. The lender retains the rights (i.e. title, dividend/interest payments and corporate actions that may arise during the term of the loan) to the securities on loan to the borrower.";
Attribute;FirstAttribute;Underlying assets of securities lending;collateral that may be used, or substituted, to secure the lending agreement;
AttributeValue;LSCXXX;C;Cash collateral;
AttributeValue;LSGXXX;G;Government bonds;
AttributeValue;LSPXXX;P;Corporate bonds;
AttributeValue;LSTXXX;T;Convertible bonds;
AttributeValue;LSEXXX;E;Equity;
AttributeValue;LSLXXX;L;Letter of credit;
AttributeValue;LSDXXX;D;Certificate of deposit;
AttributeValue;LSWXXX;W;Warrants;
AttributeValue;LSKXXX;K;Money market instruments;
AttributeValue;LSMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Termination of securities lending;;
AttributeValue;LSXNXX;N;Overnight (the term of the agreement is one day);
AttributeValue;LSXOXX;O;Open (the agreement has no fixed termination date);
AttributeValue;LSXTXX;T;Term  (the set number of days specified at the outset of the agreement);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;LSXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery of securities lending;;
AttributeValue;LSXXXD;D;Delivery versus payment  (the borrower delivers the collateral to the lender against payment of funds within a securities settlement system);
AttributeValue;LSXXXF;F;Free of payment (the borrower delivers the collateral with no corresponding payment of funds);
AttributeValue;LSXXXH;H;Hold-in-custody (the borrower holds the collateral in a segregated customer account, in custody, for the lender);
AttributeValue;LSXXXT;T;Tri-party (the borrower delivers the collateral to the lender's account at the lender's clearing bank or custodian);
Category;TXXXXX;Referential instruments;Indicators that are used as a reference for other financial instruments.
Group;TCXXXX;Currencies;"An accepted form of money, including coins and paper notes, which is generally issued by a government and circulated within an economy.";
Attribute;FirstAttribute;Type;;
AttributeValue;TCNXXX;N;"National currency (the currency or legal tender issued by a nation's central bank or monetary authority; the national currency of a nation is usually the predominant currency used for most financial transactions in that country according to ISO 4217)";
AttributeValue;TCLXXX;L;Legacy currency (national currency that ceased to be a legal tender);
AttributeValue;TCCXXX;C;Bullion coins (coins struck from precious metals and kept as a store of value or an investment, rather than used in day-to-day commerce);
AttributeValue;TCMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;TCXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TCXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TCXXXX;X;Not applicable/undefined;
